review_number,title,link
Review_085,Anticorrelated Noise Injection for Improved Generalization,https://arxiv.org/abs/2202.02831v3
Review_086,BuboGPT: Enabling Visual Grounding in Multi-Modal LLMs,https://arxiv.org/abs/2307.08581v1
Review_087,TokenFlow: Consistent Diffusion Features for Consistent Video Editing,https://arxiv.org/abs/2307.10373v3
Review_088,Secure Machine Learning in the Cloud Using One Way Scrambling by Deconvolution,https://arxiv.org/abs/2111.03125v1
Review_089,Faster Convergence for Transformer Fine-tuning with Line Search Methods,https://arxiv.org/abs/2403.18506v1
Review_090,Tree-Ring Watermarks: Fingerprints for Diffusion Images that are Invisible and Robust.,https://arxiv.org/abs/2305.20030v3
Review_091,Gradients Are Not All You Need,https://arxiv.org/abs/2111.05803v2
Review_092,Revisiting Simple Neural Probabilistic Language Models,https://arxiv.org/abs/2104.03474v1
Review_093,Graphical Models for Processing Missing Data,https://arxiv.org/abs/2304.01953v1
Review_094,In-context Autoencoder for Context Compression in a Large Language Model,https://arxiv.org/abs/2307.06945v4
Review_095,StyleGAN-NADA: CLIP-Guided Domain Adaptation of Image Generators,https://arxiv.org/abs/2103.17249v1
Review_096,Multiscale Vision Transformers (MViT): A hierarchical architecture for representing image and video information (Meta),https://arxiv.org/abs/2104.11227v1
Review_097,Self-Attention Between Datapoints: Going Beyond Individual Input-Output Pairs in Deep Learning,https://arxiv.org/abs/2106.02584v2
Review_098,Continuous Layout Editing of Single Images with Diffusion Models,https://arxiv.org/abs/2306.13078v1
Review_099,Scaling Autoregressive Multi-Modal Models: Pretraining and Instruction Tuning,https://arxiv.org/abs/2309.02591v1
Review_100,Fastformer: Additive attention is Can Be All you need,https://arxiv.org/abs/2108.09084v6
Review_101,GLIDE: Towards Photorealistic Image Generation and Editing with Text-Guided Diffusion Models,https://arxiv.org/abs/2112.10741v3
Review_102,TokenFlow: Consistent Diffusion Features for Consistent Video Editing,https://arxiv.org/abs/2307.10373
Review_103,Meta-Transformer: A Unified Framework for Multimodal Learning,https://arxiv.org/abs/1902.03356v3
Review_104,Evaluating machine comprehension of sketch meaning at different levels of abstraction,https://arxiv.org/abs/2312.03035v1
Review_105,Diffusion Sampling with Momentum for Mitigating Divergence Artifacts,https://arxiv.org/abs/2307.11118v1
Review_106,Interpolating between Images with Diffusion Models,https://arxiv.org/abs/2307.12560
Review_107,LoraHub: Efficient Cross-Task Generalization via Dynamic LoRA Composition 26.07.23,https://arxiv.org/abs/2307.13269v3
Review_108,Composite Diffusion | whole >= Σparts,https://arxiv.org/abs/2307.13720v1
Review_109,Scaling TransNormer to 175 Billion Parameters,https://arxiv.org/abs/2410.21016v2
Review_110,RLCD: REINFORCEMENT LEARNING FROM CONTRAST DISTILLATION FOR LANGUAGE MODEL ALIGNMENT,https://arxiv.org/abs/2307.12950v3
Review_111,DoG is SGD’s Best Friend: A Parameter-Free Dynamic Step Size Schedule,https://arxiv.org/abs/2302.12022
Review_112,Skeleton-of-Thought: Large Language Models Can Do Parallel Decoding,https://arxiv.org/abs/2307.15337v3
Review_113,"UnIVAL: Unified Model for Image, Video, Audio and Language Tasks",https://arxiv.org/abs/2307.16184v2
Review_114,WOUAF: Weight Modulation for User Attribution and Fingerprinting in Text-to-Image Diffusion Models,https://arxiv.org/abs/2306.04744v3
Review_115,From Sparse to Soft Mixtures of Experts,https://arxiv.org/abs/2308.00951v2
Review_116,Multimodal Neurons in Pretrained Text-Only Transformers,https://arxiv.org/abs/2308.01544v2
Review_117,ConceptLab: Creative Generation using Diffusion Prior Constraints,https://arxiv.org/abs/2308.02669v2
Review_118,Predicting masked tokens in stochastic locations improves masked image modeling,https://arxiv.org/abs/2308.00566
Review_119,Seeing through the Brain: Image Reconstruction of Visual Perception from Human Brain Signals,https://arxiv.org/abs/2208.03666v4
Review_120,FLIRT: Feedback Loop In-context Red Teaming,https://arxiv.org/abs/2308.04265v2
Review_121,SIMPLE SYNTHETIC DATA REDUCES SYCOPHANCY IN LARGE LANGUAGE MODELS,https://arxiv.org/abs/2308.03958
Review_122,AUDIOLDM 2: LEARNING HOLISTIC AUDIO GENERATION WITH SELF-SUPERVISED PRETRAINING,https://arxiv.org/abs/2308.05734v3
Review_123,DIVIDE & BIND YOUR ATTENTION FOR IMPROVED GENERATIVE SEMANTIC NURSING,https://arxiv.org/abs/2307.10864v3
Review_124,TextDiffuser: Diffusion Models as Text Painters,https://arxiv.org/abs/2305.10855v5
Review_125,Self-Alignment with Instruction Backtranslation,https://arxiv.org/abs/2308.06259v3
Review_126,Convolutions Die Hard: Open-Vocabulary Segmentation with Single Frozen Convolutional CLIP,https://arxiv.org/abs/2308.02487v2
Review_127,Short : SOLVING CHALLENGING MATH WORD PROBLEMS USING GPT-4 CODE INTERPRETER WITH CODE-BASED SELF-VERIFICATION,https://arxiv.org/abs/2308.07921v1
Review_128,Dual-Stream Diffusion Net for Text-to-Video Generation,https://arxiv.org/abs/2308.08316v3
Review_129,18.08.23: CyBERT: Contextualized Embeddings for the Cybersecurity Domain (סקירה זו נכתבה על ידי עדן יבין),https://arxiv.org/abs/2210.08218v1
Review_130,Watch Your Steps: Local Image and Scene Editing by Text Instructions,https://arxiv.org/abs/2211.09800
Review_131,SeamlessM4T—Massively Multilingual & Multimodal Machine Translation,https://arxiv.org/abs/2308.11596v3
Review_132,28.08.23:  Nougat: Neural Optical Understanding for Academic Documents,https://arxiv.org/abs/2308.13418
Review_133,"Beyond Chain-of-Thought, Effective Graph-of-Thought Reasoning in Large Language Models",https://arxiv.org/abs/2305.16582
Review_134,OmniQuant: Omnidirectionally Calibrated Quantization for Large Language Models,https://arxiv.org/abs/2308.13137
Review_135,LM-INFINITE: SIMPLE ON-THE-FLY LENGTH GENERALIZATION FOR LARGE LANGUAGE MODELS,https://arxiv.org/abs/2308.16137
Review_136,ORES: Open-vocabulary Responsible Visual Synthesis,https://arxiv.org/abs/2308.13785
Review_137,Any-Size-Diffusion: Toward Efficient Text-Driven Synthesis for Any-Size HD Images,https://arxiv.org/abs/2308.16582
Review_138,YaRN: Efficient Context Window Extension of Large Language Models,https://arxiv.org/abs/2309.00071v2
Review_139,G-EVAL: NLG Evaluation using GPT-4 with Better Human Alignment,https://arxiv.org/abs/2303.16634
Review_140,Unsupervised Compositional Concepts Discovery with Text-to-Image Generative Models,https://arxiv.org/abs/2306.05357
Review_141,One Wide Feedforward is All You Need,https://arxiv.org/abs/2309.01826v2
Review_142,DOLA: DECODING BY CONTRASTING LAYERS IMPROVES FACTUALITY IN LARGE LANGUAGE MODELS,https://arxiv.org/abs/2309.03883v2
Review_143,LARGE LANGUAGE MODELS AS OPTIMIZERS,https://arxiv.org/abs/2311.15249v1
Review_144,Explaining grokking through circuit efficiency,https://arxiv.org/abs/2309.02390
Review_145,Transformers as Support Vector Machines,https://arxiv.org/abs/2308.16898
Review_146,Textbooks Are All You Need II: phi-1.5 technical report,https://arxiv.org/abs/2309.05463
Review_147,Reinforced Self-Training (ReST) for Language Modeling,https://arxiv.org/abs/2308.08998
Review_148,Generative Image Dynamics,https://arxiv.org/abs/2309.07906v3
Review_149,Knowledge Graph Prompting for Multi-Document Question Answering,https://arxiv.org/abs/2308.11730v3
Review_150,Ambiguity-Aware In-Context Learning with Large Language Models,https://arxiv.org/abs/2205.01825v1
Review_151,Language Modeling Is Compression,https://arxiv.org/abs/2309.10668v2
Review_152,FreeU: Free Lunch in Diffusion U-Net,https://arxiv.org/abs/2309.11497v2
Review_153,CoCA: Fusing Position Embedding with Collinear Constrained Attention in Transformers for Long Context Window Extending,https://arxiv.org/abs/2309.08646v3
Review_154,FOLEYGEN: VISUALLY-GUIDED AUDIO GENERATION,https://arxiv.org/abs/2309.10537v1
Review_155,Context is Environment,https://arxiv.org/abs/2309.09888v2
Review_156,CHAIN-OF-VERIFICATION REDUCES HALLUCINATION IN LARGE LANGUAGE MODELS,https://arxiv.org/abs/2309.11495v2
Review_157,Short : LONGLORA: EFFICIENT FINE-TUNING OF LONG CONTEXT LARGE LANGUAGE MODELS,https://arxiv.org/abs/2309.12307v3
Review_158,End-to-End Speech Recognition Contextualization with Large Language Models,https://arxiv.org/abs/2309.10917v1
Review_159,Linguistic Binding in Diffusion Models: Enhancing Attribute Correspondence through Attention Map Alignment,https://arxiv.org/abs/2306.08877v3
Review_160,Stochastic Re-weighted Gradient Descent via Distributionally Robust Optimization,https://arxiv.org/abs/2306.09222v5
Review_161,Vision Transformers Need Registers,https://arxiv.org/abs/2309.16588
Review_162,PixArt-α: Fast Training of Diffusion Transformer for Photorealistic Text-to-Image Synthesis,https://arxiv.org/abs/2310.00426v3
Review_163,Think before you speak: Training Language Models With Pause Tokens,https://arxiv.org/abs/2310.02226v3
Review_164,Idea2Img: Iterative Self-Refinement with GPT-4V(ision) for Automatic Image Design and Generation,https://arxiv.org/abs/2310.08541v2
Review_165,Table-GPT: Table-tuned GPT for Diverse Table Tasks,https://arxiv.org/abs/2310.09263v1
Review_166,LoftQ: LoRA-Fine-Tuning-Aware Quantization for Large Language Models,https://arxiv.org/abs/2310.08659v4
Review_167,In-Context Pretraining: Language Modeling Beyond Document Boundaries,https://arxiv.org/abs/2310.10638v6
Review_168,Reward-Augmented Decoding: Efficient Controlled Text Generation With a Unidirectional Reward Model,https://arxiv.org/abs/2310.09520v4
Review_169,VERA: VECTOR-BASED RANDOM MATRIX ADAPTATION,https://arxiv.org/abs/2310.11454v2
Review_170,Safe RLHF: Safe Reinforcement Learning from Human Feedback,https://arxiv.org/abs/2310.12773v1
Review_171,TOOLCHAIN* : EFFICIENT ACTION SPACE NAVIGATION IN LARGE LANGUAGE MODELS WITH A* SEARCH,https://arxiv.org/abs/2310.13227v1
Review_172,Matryoshka Diffusion Models,https://arxiv.org/abs/2310.15111v2
Review_173,Localizing and Editing Knowledge in Text-to-Image Generative Models,https://arxiv.org/abs/2405.01008v2
Review_174,Teaching Language Models to Self-Improve through Interactive Demonstrations,https://arxiv.org/abs/1909.04157v1
Review_175,In-Context Learning Creates Task Vectors,https://arxiv.org/abs/2311.06668v3
Review_176,A Picture is Worth a Thousand Words: Principled Recaptioning Improves Image Generation,https://arxiv.org/abs/2310.16656v1
Review_177,Large Language Models as Generalizable Policies for Embodied Tasks,https://arxiv.org/abs/2310.17722v2
Review_178,"TeacherLM: Teaching to Fish Rather Than Giving the Fish, Language Modeling Likewise",https://arxiv.org/abs/2310.19019v3
Review_179,CAPSFUSION: Rethinking Image-Text Data at Scale,https://arxiv.org/abs/2310.20550v3
Review_180,UNLEASHING THE POWER OF PRE-TRAINED LANGUAGE MODELS FOR OFFLINE REINFORCEMENT LEARNING,https://arxiv.org/abs/2310.20587v5
Review_181,Learning From Mistakes Makes LLM Better Reasoner,https://arxiv.org/abs/2310.20689v4
Review_182,Smooth Diffusion: Crafting Smooth Latent Spaces in Diffusion Models,https://arxiv.org/abs/2312.04410v1
Review_183,Beyond Human Data: Scaling Self-Training for Problem-Solving with Language Models,https://arxiv.org/abs/2312.06585v4
Review_184,WEAK-TO-STRONG GENERALIZATION: ELICITING STRONG CAPABILITIES WITH WEAK SUPERVISION,https://arxiv.org/abs/2312.09390v1
Review_185,"Mamba Series, An Intro",https://arxiv.org/abs/2408.11451v4
Review_186,Legendre Memory Units: Continuous-Time Representation in Recurrent Neural Networks,https://arxiv.org/abs/2102.11417v2
Review_187,HiPPO: Recurrent Memory with Optimal Polynomial Projections,https://arxiv.org/abs/2008.07669v2
Review_188,Transformers are RNNs: Fast Autoregressive Transformers with Linear Attention,https://arxiv.org/abs/2006.16236v3
Review_189,Efficiently Modeling Long Sequences with Structured State Spaces,https://arxiv.org/abs/2111.00396v3
Review_190,Simplified State Space Layers For Sequence Modeling(S5),https://arxiv.org/abs/2208.04933v3
Review_191,Hungry Hungry Hippos: Towards Language Modeling with State Space Models(H3),https://arxiv.org/abs/2212.14052v3
Review_192,Hyena Hierarchy: Towards Larger Convolutional Language Models,https://arxiv.org/abs/2302.10866v3
Review_193,RWKV: Reinventing RNNs for the Transformer Era,https://arxiv.org/abs/2305.13048v2
Review_194,Retentive Network: A Successor to Transformer for Large Language Models,https://arxiv.org/abs/2307.08621v4
Review_195,Mamba: Linear-Time Sequence Modeling with Selective State Spaces,https://arxiv.org/abs/2507.06204v1
Review_196,Can Mamba Learn How to Learn? A Comparative Study on In-Context Learning Tasks,https://arxiv.org/abs/2402.04248v2
Review_197,VMamba: Visual State Space Model,https://arxiv.org/abs/2401.10166v4
Review_198,LLM4Decompile: Decompiling Binary Code with Large Language Models,https://arxiv.org/abs/2403.05286v3
Review_199,Improving Text Embeddings with Large Language Models,https://arxiv.org/abs/2402.15449v2
Review_200,LLM2Vec: Large Language Models Are Secretly Powerful Text Encoder,https://arxiv.org/abs/2404.05961v2
Review_201,SiMBA: Simplified Mamba-based Architecture for Vision and Multivariate Time series,https://arxiv.org/abs/2403.15360v2
Review_202,ZigMa: A DiT-style Zigzag Mamba Diffusion Model,https://arxiv.org/abs/2403.13802
Review_203,SimPO: Simple Preference Optimization with a Reference-Free Reward,https://arxiv.org/abs/2405.14734v3
Review_204,Similarity is Not All You Need: Endowing Retrieval-Augmented Generation with Multi–layered Thoughts,https://arxiv.org/abs/2405.19893v1
Review_205,Simple linear attention language models balance the recall-throughput tradeoff,https://arxiv.org/abs/2402.18668v2
Review_206,PanGu-π: Enhancing Language Model Architectures via Nonlinearity Compensation,https://arxiv.org/abs/2505.21411v2
Review_207,SSAMBA: SELF-SUPERVISED AUDIO REPRESENTATION LEARNING WITH MAMBA STATE SPACE MODEL,https://arxiv.org/abs/2405.11831v2
Review_208,Training LLMs over Neurally Compressed Text,https://arxiv.org/abs/2404.03626v3
Review_209,2BP: 2-Stage Backpropagation,https://arxiv.org/pdf/2405.18047
Review_210,Transformers Can Do Arithmetic with the Right Embeddings,https://arxiv.org/abs/2405.17399
Review_211,The Evolution of Multimodal Model Architectures,https://arxiv.org/abs/2405.17927
Review_212,LLaMA-NAS: Efficient Neural Architecture Search for Large Language Models,https://arxiv.org/abs/2405.18377
Review_213,Better & Faster Large Language Models via Multi-token Prediction,https://arxiv.org/pdf/2404.19737
Review_214,Are Emergent Abilities of Large Language Models a Mirage?,https://arxiv.org/abs/2304.15004
Review_215,GraphAny: A Foundation Model for Node Classification on Any Graph,https://arxiv.org/abs/2405.2044
Review_216,Similarity is Not All You Need: Endowing Retrieval-Augmented Generation with Multi–layered Thoughts,https://arxiv.org/abs/2405.19893
Review_217,Scaling and evaluating sparse autoencoders?,https://cdn.openai.com/papers/sparse-autoencoders.pdf
Review_218,Transformers are SSMs: Generalized Models and Efficient Algorithms Through Structured State Space Duality,https://arxiv.org/abs/2405.21060
Review_219,What Do Language Models Learn in Context? The Structured Task Hypothesis.,https://arxiv.org/abs/2406.04216
Review_220,Learning to grok: Emergence of in-context learning and skill composition in modular arithmetic tasks,https://arxiv.org/abs/2406.02550
Review_221,The Geometry of Categorical and Hierarchical Concepts in Large Language Models,https://arxiv.org/pdf/2406.01506
Review_222,Accelerating Feedforward Computation via Parallel Nonlinear Equation Solving,https://www.arxiv.org/pdf/2002.03629
Review_223,Break the Sequential Dependency of LLM Inference Using LOOKAHEAD DECODING,https://arxiv.org/pdf/2402.02057
Review_224,CLLMs: Consistency Large Language Models,https://arxiv.org/abs/2403.00835
Review_225,MEDUSA: Simple LLM Inference Acceleration Framework with Multiple Decoding Heads,https://arxiv.org/pdf/2401.10774
Review_226,STATISTICAL REJECTION SAMPLING IMPROVES PREFERENCE OPTIMIZATION,https://arxiv.org/abs/2309.06657
Review_227,SSAMBA: SELF-SUPERVISED AUDIO REPRESENTATION LEARNING WITH MAMBA STATE SPACE MODEL,https://arxiv.org/abs/2405.11831
Review_228,Helping or Herding? Reward Model Ensembles Mitigate but do not Eliminate REWARD HACKING,https://arxiv.org/abs/2312.09244
Review_229,INTRINSIC DIMENSIONALITY EXPLAINS THE EFFECTIVENESS OF LANGUAGE MODEL FINE-TUNING,https://arxiv.org/abs/2012.13255
Review_230,WARM: On the Benefits of Weight Averaged Reward Models,https://arxiv.org/abs/2401.12187
Review_231,Named Entity Recognition as Structured Span Prediction,https://aclanthology.org/2022.umios-1.1/
Review_232,GLiNER: Generalist Model for Named Entity Recognition using Bidirectional Transformer,https://arxiv.org/abs/2311.08526
Review_233,TextGrad: Automatic “Differentiation” via Text,https://arxiv.org/abs/2406.07496
Review_234,Are you still on track!? Catching LLM Task Drift with Activations,https://arxiv.org/pdf/2406.00799
Review_235,Improving Reinforcement Learning from Human Feedback with Efficient Reward Model Ensemble,https://arxiv.org/abs/2401.16635
Review_236,Probing the Decision Boundaries of In-context Learning in Large Language Models,https://arxiv.org/abs/2406.11233
Review_237,On-Policy Distillation OF LANGUAGE MODELS: LEARNING FROM SELF-GENERATED MISTAKES,https://arxiv.org/abs/2306.13649
Review_238,What Are the Odds? Language Models Are Capable of Probabilistic Reasoning,https://arxiv.org/abs/2406.12830
Review_239,Grokfast: Accelerated Grokking by Amplifying Slow Gradients,https://arxiv.org/abs/2405.20233
Review_240,From Artificial Needles to Real Haystacks: Improving Retrieval Capabilities in LLMs by Finetuning on Synthetic Data,https://arxiv.org/abs/2406.19292
Review_241,The Remarkable Robustness of LLMs: Stages of Inference?,https://arxiv.org/abs/2406.19384
Review_242,How Do Large Language Models Acquire Factual Knowledge During Pretraining?,https://arxiv.org/abs/2406.11813
Review_243,A Survey of Large Language Models for Graphs,https://arxiv.org/pdf/2405.08011
Review_244,The Road Less Scheduled,https://arxiv.org/abs/2405.15682
Review_245,Mixture of A Million Experts,https://arxiv.org/abs/2407.04153
Review_246,Learning to (Learn at Test Time): RNNs with Expressive Hidden States,https://arxiv.org/pdf/2407.04620
Review_247,DOLA: DECODING BY CONTRASTING LAYERS IMPROVES FACTUALITY IN LARGE LANGUAGE MODELS,https://arxiv.org/abs/2309.03883
Review_248,To Believe or Not to Believe Your LLM,https://arxiv.org/pdf/2406.02543
Review_249,SaySelf: Teaching LLMs to Express Confidence with Self-Reflective Rationales,https://arxiv.org/abs/2405.20974
Review_250,Lookback Lens: Detecting and Mitigating Contextual Hallucinations in Large Language Models Using Only Attention Maps,https://arxiv.org/abs/2407.07071
Review_251,How Does Quantization Affect Multilingual LLMs?,https://arxiv.org/pdf/2407.03211
Review_252,Learning Rate Curriculum,https://arxiv.org/abs/2205.09180
Review_253,Trainable Highly-expressive Activation Functions,https://arxiv.org/abs/2407.07564
Review_254,DataDream: Few-shot Guided Dataset Generation,https://arxiv.org/pdf/2407.10910
Review_255,Consistency Models,https://arxiv.org/abs/2303.01469
Review_256,TRAINING DIFFUSION MODELS WITH REINFORCEMENT LEARNING,https://arxiv.org/pdf/2305.13301
Review_257,Feedback Efficient Online Fine-Tuning of Diffusion Models,https://arxiv.org/abs/2402.16359
Review_258,"The Empirical Impact of Neural Parameter Symmetries, or Lack Thereof",https://arxiv.org/pdf/2405.20231
Review_259,AI models collapse when trained on recursively generated data,https://www.nature.com/articles/s41586-024-07566-y
Review_260,Questionable practices in machine learning,https://www.arxiv.org/abs/2407.12220
